lig id,mass,mass status,suitable lig,suitable type,NMP/NDP/NTP,water,complex,small mol,solvent/buffer,linker,covalent
CFZ,325.047514606,exact,0,1,0,0,0,0,0,0,87
AF2,349.058747986,exact,1,1,0,0,0,0,0,0,32
TAC,444.1532657279999,exact,2,2,1,0,0,0,0,0,0
HMJ,255.125928784,exact,1,1,0,0,0,0,0,0,0
G6V,405.065839636,exact,1,1,0,0,0,0,0,0,0
UNL,,,0,0,0,0,0,0,0,0,1
GUN,151.04940978,exact,0,2,0,0,0,0,0,0,0
PGN,,,0,0,0,0,0,0,0,0,1
L8H,,,0,0,0,0,0,0,0,0,1
GOM,461.11913649390993,exact,0,1,0,0,0,0,0,0,0
2PE,414.2464974159999,exact,0,0,1,0,0,0,0,4,0
3DR,,,0,0,0,0,0,0,0,0,20
EQ1,781.4931810000002,approximation,0,0,4,0,0,0,0,0,0
2ZZ,278.005475072,exact,1,1,0,0,0,0,0,0,0
TEP,180.064725496,exact,0,2,0,0,0,0,0,0,0
NH4,18.03382554809,exact,0,1,0,0,0,0,0,0,0
THF,473.1658960760001,exact,1,1,0,0,0,0,0,0,0
VIB,265.11175858409,exact,1,1,0,0,0,0,0,0,0
QUA,,,0,0,0,0,0,0,0,0,3
DHA,,,0,0,0,0,0,0,0,0,12
MH6,,,0,0,0,0,0,0,0,0,12
BB9,,,0,0,0,0,0,0,0,0,41
DBU,,,0,0,0,0,0,0,0,0,9
DCY,,,0,0,0,0,0,0,0,0,6
TS9,,,0,0,0,0,0,0,0,0,6
NH2,,,0,0,0,0,0,0,0,0,4
4BW,674.0999540879999,exact,2,2,0,0,0,0,0,0,0
US3,,,0,0,0,0,0,0,0,0,8
VC7,,,0,0,0,0,0,0,0,0,2
LIV,761.35420992,exact,0,3,0,0,0,0,0,0,0
1MG,,,0,0,0,0,0,0,0,0,46
FHU,,,0,0,0,0,0,0,0,0,10
SPS,361.076612708,exact,5,5,0,0,0,0,0,0,0
1TU,254.086684064,exact,2,2,0,0,0,0,0,0,0
C43,,,0,0,0,0,0,0,0,0,56
G48,,,0,0,0,0,0,0,0,0,56
A44,,,0,0,0,0,0,0,0,0,24
U36,,,0,0,0,0,0,0,0,0,24
N79,,,0,0,0,0,0,0,0,0,2
BGM,,,0,0,0,0,0,0,0,0,50
CFL,,,0,0,0,0,0,0,0,0,46
GLC,180.063388104,exact,0,2,0,0,0,0,0,0,16
FH8,431.16014825608994,exact,2,2,0,0,0,0,0,0,0
FRU,,,0,0,0,0,0,0,0,0,13
CDP,403.0181815599999,exact,0,0,3,0,0,0,0,0,0
O2C,,,0,0,0,0,0,0,0,0,6
50N,,,0,0,0,0,0,0,0,0,2
50L,,,0,0,0,0,0,0,0,0,2
B2R,503.22810240800004,exact,1,1,0,0,0,0,0,0,0
M7G,,,0,0,0,0,0,0,0,0,17
DOL,690.3298501800001,exact,1,1,0,0,0,0,0,0,0
PG6,266.172938552,exact,0,0,3,0,0,0,0,0,0
6O1,1629.5065630239992,exact,0,1,0,0,0,0,0,0,0
SLZ,164.061948624,exact,0,1,0,0,0,0,0,0,0
SS0,331.23721054800006,exact,1,1,0,0,0,0,0,0,0
XXX,322.185234552,exact,3,3,0,0,0,0,0,0,0
ADN,267.096753896,exact,1,2,0,0,0,0,0,0,0
JMH,,,0,0,0,0,0,0,0,0,2
SSU,,,0,0,0,0,0,0,0,0,33
2MA,,,0,0,0,0,0,0,0,0,30
MEQ,160.084792244,exact,0,1,0,0,0,0,0,0,2
LMS,,,0,0,0,0,0,0,0,0,2
SCM,332.158351108,exact,1,1,0,0,0,0,0,0,0
M5Z,731.358901376,exact,0,1,0,0,0,0,0,0,0
CPN,,,0,0,0,0,0,0,0,0,6
GPN,,,0,0,0,0,0,0,0,0,4
APN,,,0,0,0,0,0,0,0,0,2
RPO,705.3432513119999,exact,0,1,0,0,0,0,0,0,0
U7Y,370.11896655999993,exact,1,1,0,0,0,0,0,0,0
U23,,,0,0,0,0,0,0,0,0,2
GZ6,60.055623612089995,exact,0,1,0,0,0,0,0,0,0
DCP,466.98959746199984,exact,0,0,3,0,0,0,0,0,0
RSQ,351.0467656579999,exact,1,1,0,0,0,0,0,0,25
AO,266.16517406009,exact,1,1,0,0,0,0,0,0,0
0G6,,,0,0,0,0,0,0,0,0,4
ADS,,,0,0,0,0,0,0,0,0,2
NHE,207.092914404,exact,0,0,0,0,0,0,2,0,0
PE4,354.22536804799995,exact,0,0,0,0,0,0,2,0,0
AGS,522.9729018419999,exact,0,0,1,0,0,0,0,0,7
FB,330.10631553599995,exact,0,0,1,0,0,0,0,0,0
HRG,188.127325752,exact,0,1,0,0,0,0,0,0,0
3TD,,,0,0,0,0,0,0,0,0,23
O8P,741.2009399599999,exact,0,1,0,0,0,0,0,0,0
PLR,,,0,0,0,0,0,0,0,0,12
6IA,,,0,0,0,0,0,0,0,0,4
DMA,246.00582598399998,exact,,0,0,0,0,0,0,0,
TFX,283.12634602809004,exact,2,2,0,0,0,0,0,0,0
2IA,,,0,0,0,0,0,0,0,0,1
38E,252.071034,exact,2,2,0,0,0,0,0,0,0
